instrument,date,type,name,volume,varvolume
IM2412,20241210,0,东海期货(代客),6848,3213
IM2412,20241210,1,东海期货(代客),2371,399
IM2412,20241210,2,东海期货(代客),2233,467
IM2412,20241210,0,东吴期货(代客),5229,576
IM2412,20241210,0,东兴期货(代客),5805,1150
IM2412,20241210,0,东证期货(代客),16278,3535
IM2412,20241210,1,东证期货(代客),6315,199
IM2412,20241210,2,东证期货(代客),7375,1133
IM2412,20241210,0,方正中期(代客),4962,1438
IM2412,20241210,0,光大期货(代客),6225,1560
IM2412,20241210,1,光大期货(代客),2688,138
IM2412,20241210,2,光大期货(代客),2673,251
IM2412,20241210,0,广发期货(代客),8785,2604
IM2412,20241210,1,广发期货(代客),3780,222
IM2412,20241210,2,广发期货(代客),3956,-95
IM2412,20241210,2,国联期货(代客),1731,187
IM2412,20241210,0,国泰君安(代客),51045,8027
IM2412,20241210,1,国泰君安(代客),20926,712
IM2412,20241210,2,国泰君安(代客),20076,353
IM2412,20241210,0,国投安信(代客),5041,2134
IM2412,20241210,1,国投安信(代客),5524,-553
IM2412,20241210,2,国投安信(代客),3038,-112
IM2412,20241210,0,国信期货(代客),9702,2360
IM2412,20241210,1,国信期货(代客),3481,679
IM2412,20241210,2,国信期货(代客),4105,763
IM2412,20241210,0,海通期货(代客),16612,1509
IM2412,20241210,1,海通期货(代客),8005,-105
IM2412,20241210,2,海通期货(代客),8074,-15
IM2412,20241210,0,华泰期货(代客),9949,1926
IM2412,20241210,1,华泰期货(代客),7002,81
IM2412,20241210,2,华泰期货(代客),6951,254
IM2412,20241210,0,华闻期货(代客),12554,2177
IM2412,20241210,1,华闻期货(代客),3683,921
IM2412,20241210,2,华闻期货(代客),3633,803
IM2412,20241210,1,平安期货(代客),2585,30
IM2412,20241210,0,瑞达期货(代客),4650,-93
IM2412,20241210,2,瑞银期货(代客),2785,101
IM2412,20241210,0,申银万国(代客),4611,1176
IM2412,20241210,1,申银万国(代客),2090,-28
IM2412,20241210,2,申银万国(代客),3082,285
IM2412,20241210,1,兴证期货(代客),2939,-138
IM2412,20241210,2,兴证期货(代客),1966,98
IM2412,20241210,0,银河期货(代客),10342,2615
IM2412,20241210,1,银河期货(代客),5596,194
IM2412,20241210,2,银河期货(代客),5367,-6
IM2412,20241210,0,永安期货(代客),6822,2826
IM2412,20241210,1,永安期货(代客),3395,-215
IM2412,20241210,2,永安期货(代客),4712,-283
IM2412,20241210,1,招商期货(代客),2062,23
IM2412,20241210,2,招商期货(代客),2240,-77
IM2412,20241210,1,浙商期货(代客),2193,559
IM2412,20241210,0,中泰期货(代客),11152,4886
IM2412,20241210,1,中泰期货(代客),4791,36
IM2412,20241210,2,中泰期货(代客),2643,466
IM2412,20241210,0,中信建投(代客),7346,1492
IM2412,20241210,1,中信建投(代客),3299,-260
IM2412,20241210,2,中信建投(代客),3128,168
IM2412,20241210,0,中信期货(代客),55421,9826
IM2412,20241210,1,中信期货(代客),18195,3929
IM2412,20241210,2,中信期货(代客),29072,2250
IM2501,20241210,2,宝城期货(代客),376,180
IM2501,20241210,1,大越期货(代客),522,3
IM2501,20241210,0,东海期货(代客),494,254
IM2501,20241210,0,东证期货(代客),3909,1071
IM2501,20241210,1,东证期货(代客),1543,371
IM2501,20241210,2,东证期货(代客),1981,444
IM2501,20241210,1,方正中期(代客),1263,177
IM2501,20241210,0,光大期货(代客),494,280
IM2501,20241210,0,广发期货(代客),1352,856
IM2501,20241210,1,广发期货(代客),518,272
IM2501,20241210,2,广发期货(代客),915,88
IM2501,20241210,1,广州金控(代客),506,-4
IM2501,20241210,1,国富期货(代客),578,206
IM2501,20241210,1,国联期货(代客),634,96
IM2501,20241210,0,国泰君安(代客),4687,1509
IM2501,20241210,1,国泰君安(代客),3272,1137
IM2501,20241210,2,国泰君安(代客),2835,446
IM2501,20241210,0,国投安信(代客),1279,1052
IM2501,20241210,1,国投安信(代客),2594,38
IM2501,20241210,2,国投安信(代客),2654,1109
IM2501,20241210,0,国信期货(代客),1581,861
IM2501,20241210,1,国信期货(代客),1188,396
IM2501,20241210,2,国信期货(代客),641,231
IM2501,20241210,0,海通期货(代客),3876,1431
IM2501,20241210,1,海通期货(代客),888,52
IM2501,20241210,2,海通期货(代客),2532,394
IM2501,20241210,0,华泰期货(代客),1071,327
IM2501,20241210,1,华泰期货(代客),681,84
IM2501,20241210,2,华泰期货(代客),1948,193
IM2501,20241210,0,华闻期货(代客),2358,1339
IM2501,20241210,1,华闻期货(代客),818,402
IM2501,20241210,2,华闻期货(代客),878,338
IM2501,20241210,0,华西期货(代客),590,231
IM2501,20241210,1,金瑞期货(代客),734,28
IM2501,20241210,2,摩根大通(代客),671,0
IM2501,20241210,0,南华期货(代客),522,327
IM2501,20241210,2,南华期货(代客),370,124
IM2501,20241210,2,平安期货(代客),455,-140
IM2501,20241210,0,瑞达期货(代客),699,259
IM2501,20241210,2,瑞银期货(代客),622,282
IM2501,20241210,0,五矿期货(代客),1197,280
IM2501,20241210,2,五矿期货(代客),394,116
IM2501,20241210,0,兴证期货(代客),581,106
IM2501,20241210,1,兴证期货(代客),1700,1
IM2501,20241210,2,兴证期货(代客),420,338
IM2501,20241210,1,一德期货(代客),541,31
IM2501,20241210,0,银河期货(代客),781,387
IM2501,20241210,1,银河期货(代客),985,135
IM2501,20241210,2,银河期货(代客),820,42
IM2501,20241210,0,永安期货(代客),646,462
IM2501,20241210,2,永安期货(代客),457,88
IM2501,20241210,2,招商期货(代客),627,42
IM2501,20241210,1,浙商期货(代客),483,46
IM2501,20241210,2,中金财富(代客),293,22
IM2501,20241210,0,中泰期货(代客),685,430
IM2501,20241210,0,中信建投(代客),766,32
IM2501,20241210,1,中信建投(代客),2263,33
IM2501,20241210,0,中信期货(代客),8657,3860
IM2501,20241210,1,中信期货(代客),5009,1381
IM2501,20241210,2,中信期货(代客),8447,1698
IM2503,20241210,1,宝城期货(代客),1218,-45
IM2503,20241210,1,长江期货(代客),2056,17
IM2503,20241210,0,东海期货(代客),2483,1368
IM2503,20241210,0,东兴期货(代客),2923,530
IM2503,20241210,0,东证期货(代客),5911,1623
IM2503,20241210,1,东证期货(代客),5057,590
IM2503,20241210,2,东证期货(代客),4971,287
IM2503,20241210,0,光大期货(代客),1917,714
IM2503,20241210,2,光大期货(代客),1420,190
IM2503,20241210,0,广发期货(代客),2860,1298
IM2503,20241210,1,广发期货(代客),2524,145
IM2503,20241210,2,广发期货(代客),3934,99
